hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-size,learning-rate,mininum-count
0.001904036557501904,0.0008190642416760351,9.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.0019062142584826535,0.0005164123025410558,7.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.0019091256204658267,0.0006606326594204062,5.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.0038138825324180014,0.001416193567783061,3.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.013766730401529637,0.005115446328231597,9.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.019458222052651658,0.006949724997642489,7.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.019473081328751432,0.008575240980324262,3.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.019510328997704666,0.008462044824064223,5.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.1635345861655338,0.07030045714938071,5.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.16926770708283315,0.0697101439678026,9.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.17114228456913827,0.07496490063977579,3.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.17521194993944286,0.06937051096450651,7.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.2155737704918033,0.08870569035533334,7.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.21779764323445755,0.1006053641255406,9.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.22921810699588477,0.09411668476845901,5.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.24176276771004943,0.10495537296712804,3.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.25,0.10751995010596498,9.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.25616776315789475,0.113030793522141,9.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2572734829592685,0.10962920787406633,5.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.25773195876288657,0.11657956690268009,3.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.2617283950617284,0.11744122766743792,5.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.26187473728457333,0.09872676531307296,3.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.2620142081069787,0.10562901980080945,7.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.26533166458072593,0.11097452484388295,9.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.26879462410751787,0.1076757204954657,7.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.26952965235173826,0.12343670745997212,9.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.27104377104377103,0.10486816869117052,9.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.27545909849749584,0.11869446743072996,7.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
