hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-size,learning-rate,mininum-count
0.021089505290248785,0.008353197772854398,3.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.023723476580670554,0.008838877841518048,3.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.0286011627072418,0.010583675341474882,5.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.029859296122587805,0.010562982554100977,5.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.040991249462057094,0.015470701787958435,7.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.04134049998196313,0.014632302336224244,7.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.04970221981591771,0.017618751560958466,9.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.05140017411491585,0.018212201147619726,9.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.06965774462483545,0.024434315935365634,9.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.07148338997916895,0.02562896481734129,7.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.07292805598075662,0.027238958797583878,5.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.07873439044933533,0.030625470690495624,3.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.08423783941819245,0.029249931554087234,3.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.08656354484329647,0.03028751935720354,3.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.10777136941733215,0.04057305856155522,3.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.12284644194756554,0.042444535533535124,5.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.12314018691588785,0.042914068974582435,3.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.12363513564218978,0.040755808066061334,5.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.12822919795734455,0.04542605117910346,3.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.13931598289957248,0.050101813846854644,5.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.13954188137059464,0.05034986546282749,3.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.14086270344094995,0.046599961024192664,7.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.14299153339604892,0.05027192417778577,7.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.1431858473841047,0.049534254295919136,3.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.14318975552968569,0.04937459169786621,3.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.1435712933156599,0.04834275652291361,3.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.14413638066691645,0.051332983268763455,3.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.14991874834662333,0.052169673608955774,3.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.15353688602313673,0.0558403853287913,3.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.15426769762029877,0.05570181227322157,3.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.15524803387779795,0.055261428215427406,3.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.15615399203489475,0.055438668139360346,9.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.1584173482975081,0.054072772073370294,9.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.15886961813479386,0.05414657854226391,5.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.15941700649448723,0.05656966253160863,5.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.15991262428442302,0.05791364672089952,5.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.16200457317073172,0.05390863706922816,5.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.16295090654453234,0.05884811406787162,3.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.16523098033236774,0.05744411963052851,7.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.16638331633231326,0.06061104859361337,7.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.16693888403540091,0.05821668165094776,5.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.16937319775383214,0.05982081921074093,5.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.17157495256166982,0.06233611581373223,7.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.17231487148102814,0.061063514896903925,5.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.17245866503368035,0.06005700950354335,5.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.17311268835161497,0.06251078547082936,9.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
0.17329057381743213,0.060624913358546285,5.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.17342411260709914,0.06044718297256461,5.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.17393612986421908,0.06312650540644431,7.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.17393937100253568,0.06302556900924508,9.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.1743286992953723,0.06286334075751775,9.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.17630843447298902,0.062179571295254275,7.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.17756086444604807,0.06501807048022731,9.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.1782291191236878,0.06509419894394468,7.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.17859462764128234,0.0653781358498192,5.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.1793179737564846,0.06444435735686833,7.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.1801036348395946,0.0658674330608867,5.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.18022188217291507,0.06305205767551056,7.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.1809776955969028,0.06189980354019364,7.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.18255188316679477,0.06155801783883274,7.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.18290304073436603,0.06598029945449878,9.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.18520220588235295,0.06578430237224626,9.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.18540812023156844,0.06421692455624792,9.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.18559950793833851,0.06582087964766575,7.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.18634467449959816,0.06942377921707496,9.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.18686733641468353,0.06947198318346008,7.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.18769915921219335,0.06557420835275789,9.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.1889348025711662,0.06867834649809677,9.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.18937476026083622,0.06667906168296933,7.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.19068625570601097,0.06955939020860784,9.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.19451352488808968,0.06880672519501099,9.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.19909850907269716,0.06951744384915834,9.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
